# {"t_start": 1549867203.317993, "env_id": "graph-search-v0"} 
r,l,t
-2,2,8.396932
-2,2,8.407469
-2,2,8.414399
-2,2,8.420335
-2,2,8.425988
-2,2,8.431794
-2,2,8.437424
-2,2,8.443603
-2,2,8.449388
-2,2,8.455559
-2,2,8.461203
-2,2,8.466826
-2,2,8.472545
-2,2,8.479839
-2,2,8.487684
-2,2,8.493351
-2,2,8.499008
-2,2,8.507403
-2,2,8.514526
-2,2,8.520679
-2,2,8.527343
-2,2,8.533446
-2,2,8.539647
-2,2,8.546205
-2,2,8.551846
-2,2,8.557441
-2,2,8.563011
-2,2,8.569152
-3,3,8.578343
-2,2,8.583909
-2,2,8.58961
-2,2,8.595313
-2,2,8.601505
-2,2,8.607843
-2,2,8.613505
-2,2,8.619145
-2,2,8.624863
-2,2,8.630728
-4,3,8.640215
-2,2,8.646034
-2,2,8.651618
-2,2,8.657358
-2,2,8.663049
-2,2,8.668755
-2,2,8.674578
-2,2,8.680345
-2,2,8.685912
-2,2,8.692808
-2,2,8.70031
-2,2,8.706517
-2,2,8.712316
-2,2,8.71811
-2,2,8.724225
-2,2,8.729897
-2,2,8.735455
-2,2,8.741505
-2,2,8.747383
-2,2,8.753011
-2,2,8.75933
-2,2,8.764991
-2,2,8.771294
-2,2,8.776969
-2,2,8.782537
-2,2,8.788803
-2,2,8.794669
-2,2,8.800371
-2,2,8.806086
-2,2,8.811836
-2,2,8.817856
-2,2,8.824336
-2,2,8.829925
-2,2,8.835537
-2,2,8.841274
-2,2,8.847134
-2,2,8.853813
-2,2,8.859937
-2,2,8.865567
-2,2,8.872015
-2,2,8.877599
-2,2,8.883567
-2,2,8.890703
-2,2,8.89636
-2,2,8.902036
-2,2,8.907635
-2,2,8.916828
-2,2,8.923769
-2,2,8.929971
-2,2,8.935799
-2,2,8.941899
-2,2,8.947655
-2,2,8.954062
-2,2,8.960005
-2,2,8.965965
-2,2,8.971977
-2,2,8.977904
-2,2,8.983605
-2,2,8.989627
-2,2,8.995266
-2,2,9.000893
-2,2,9.007017
-4,3,9.0154
-2,2,9.021708
-2,2,9.027402
-2,2,9.033067
